fips                For 0-4 poverty ratios                                   For 5-17 poverty ratios                                  For 18-64 poverty ratios                                    For 65+ poverty ratios
     cps04 irspr04 irsnf04    fs04   cpsse  cpsest   gvfse    cps04 irspr04 irsnf04    fs04   cpsse  cpsest   gvfse    cps04 irspr04 irsnf04    fs04   cpsse  cpsest    gvfse    cps04 irspr04 irsnf04   SSI04    cpsse  cpsest    gvfse  smpsize
01 28.9038 16.3180 15.0362 11.5514 3.85149 28.9037 4.52238  21.9814 23.1041 15.0362 11.5514 2.68589 21.9814 2.77142  14.6783 16.3180 15.0362 11.5514  0.0000  0.0000   0.0000  14.2601  8.0657 49.1739  6.2619   0.0000  0.0000   0.0000  1070
02 10.6000 11.2910 10.8885  7.5694 2.03617 10.6004 2.56396  12.2139 14.1443 10.8885  7.5694 2.47164 12.2143 2.12835   8.2484 11.2910 10.8885  7.5694  0.0000  0.0000   0.0000   4.9763  9.0447 30.8659  6.9911   0.0000  0.0000   0.0000  1029
04 28.5974 13.1196 19.3560  9.3532 4.39238 28.5975 4.26283  17.7289 19.8438 19.3560  9.3532 2.43228 17.7289 2.47254  12.4517 13.1196 19.3560  9.3532  0.0000  0.0000   0.0000   9.6675  7.9521 42.6254  3.0266   0.0000  0.0000   0.0000  1061
05 26.9585 17.7500 15.5359 13.3148 5.04658 26.9586 5.05370  19.6888 25.3794 15.5359 13.3148 2.42157 19.6889 2.95949  12.3766 17.7500 15.5359 13.3148  0.0000  0.0000   0.0000  15.0031  8.8513 47.8593  5.3151   0.0000  0.0000   0.0000   877
06 21.1028 13.4600 16.3145  5.4927 1.56365 21.1028 1.63529  17.9349 18.7503 16.3145  5.4927 1.02713 17.9349 1.10796  11.8113 13.4600 16.3145  5.4927  0.0000  0.0000   0.0000   7.1287  7.7757 42.1668 10.4966   0.0000  0.0000   0.0000  5834
08 14.0841 11.4615 13.2902  5.2946 1.94397 14.0840 2.67515  10.5657 15.0906 13.2902  5.2946 1.41915 10.5658 1.68946   9.3911 11.4615 13.2902  5.2946  0.0000  0.0000   0.0000   9.1310  8.7771 34.1704  2.9446   0.0000  0.0000   0.0000  1553
09 15.8012  8.6538 10.1777  5.7715 3.17301 15.8012 3.12756  11.1667 10.2965 10.1777  5.7715 1.87243 11.1667 1.74878   9.7244  8.6538 10.1777  5.7715  0.0000  0.0000   0.0000   7.6648  7.7965 36.4891  2.6311   0.0000  0.0000   0.0000  1513
10 15.7801 10.9007 11.7358  7.1884 3.31617 15.7795 3.73969  11.4968 14.9459 11.7358  7.1884 1.71464 11.4968 2.19954   7.9682 10.9007 11.7358  7.1884  0.0000  0.0000   0.0000   6.7617  6.5126 35.5767  2.1339   0.0000  0.0000   0.0000  1061
11 26.3251 12.8025 23.0784 15.9995 4.23521 26.3251 4.79649  28.2760 22.1005 23.0784 15.9995 3.89140 28.2763 3.54404  14.3439 12.8025 23.0784 15.9995  0.0000  0.0000   0.0000  12.7010  4.9235 44.1971  6.4736   0.0000  0.0000   0.0000  1123
12 19.8201 15.6973 13.5711  7.2745 2.19226 19.8202 2.39183  15.7767 21.4543 13.5711  7.2745 1.59656 15.7767 1.48400  10.6044 15.6973 13.5711  7.2745  0.0000  0.0000   0.0000   7.9142  8.1176 43.1767  4.5983   0.0000  0.0000   0.0000  3359
13 20.4350 15.2666 16.7906 10.1450 3.47764 20.4351 3.67556  19.3887 21.2172 16.7906 10.1450 2.54617 19.3886 2.58856  10.8282 15.2666 16.7906 10.1450  0.0000  0.0000   0.0000   8.4459  8.4026 45.5988  6.1216   0.0000  0.0000   0.0000  1431
15 11.5345 13.3051 11.3593  7.3759 3.25561 11.5340 3.11938   9.0207 16.2269 11.3593  7.3759 1.66193  9.0205 1.82887   8.0795 13.3051 11.3593  7.3759  0.0000  0.0000   0.0000   8.5755  9.6615 34.5134  4.6230   0.0000  0.0000   0.0000  1149
16 14.9188 14.6617 11.6004  6.6041 3.46064 14.9190 3.86867  11.5240 18.6018 11.6004  6.6041 1.73868 11.5241 2.41291   8.9772 14.6617 11.6004  6.6041  0.0000  0.0000   0.0000   8.2915 11.0080 37.4183  1.8676   0.0000  0.0000   0.0000   856
17 16.3431 12.2589 12.4777  8.9258 1.93184 16.3431 2.39235  18.6188 16.2288 12.4777  8.9258 1.55563 18.6188 1.74701  10.6113 12.2589 12.4777  8.9258  0.0000  0.0000   0.0000   8.7577  9.8849 36.7912  3.7680   0.0000  0.0000   0.0000  2591
18 23.3177 12.4944 10.0747  8.7999 4.01634 23.3176 3.60437  16.2338 16.3793 10.0747  8.7999 2.61343 16.2338 2.08001   9.6943 12.4944 10.0747  8.7999  0.0000  0.0000   0.0000   6.5710 13.6499 33.4099  1.6251   0.0000  0.0000   0.0000  1380
19 16.0012 10.8246 10.1131  6.8050 2.59133 16.0014 3.01180  11.5162 13.4014 10.1131  6.8050 1.98520 11.5163 1.90089  10.9191 10.8246 10.1131  6.8050  0.0000  0.0000   0.0000   7.3616  9.8529 33.8833  1.6355   0.0000  0.0000   0.0000  1256
20 20.1632 12.5235 10.5899  6.4174 3.32641 20.1632 3.40229  13.6121 15.9712 10.5899  6.4174 1.86279 13.6121 2.23622  10.2926 12.5235 10.5899  6.4174  0.0000  0.0000   0.0000   8.2223 13.2794 30.6099  1.8509   0.0000  0.0000   0.0000  1228
21 29.6316 15.7126 14.2807 13.5684 4.57690 29.6315 4.25285  21.7814 21.8612 14.2807 13.5684 2.68701 21.7815 2.77733  16.0230 15.7126 14.2807 13.5684  0.0000  0.0000   0.0000  14.8660  9.3877 47.9902  6.6999   0.0000  0.0000   0.0000  1138
22 27.9834 17.9601 17.6864 16.1939 6.08777 27.9835 4.92861  17.8886 25.7137 17.6864 16.1939 2.24232 17.8887 2.88378  15.6770 17.9601 17.6864 16.1939  0.0000  0.0000   0.0000  14.0209  7.5332 50.4412  7.3245   0.0000  0.0000   0.0000   795
23 17.7658 12.2334  9.9735 11.2780 3.87905 17.7660 3.55996  12.4270 14.8757  9.9735 11.2780 1.87537 12.4271 2.16377  11.1702 12.2334  9.9735 11.2780  0.0000  0.0000   0.0000   9.8405  8.4536 43.9003  2.9044   0.0000  0.0000   0.0000  1339
24  8.6084  9.4003 11.6357  5.1038 2.38810  8.6083 2.52000  12.3815 11.9476 11.6357  5.1038 2.08830 12.3815 1.85913   9.0555  9.4003 11.6357  5.1038  0.0000  0.0000   0.0000  11.6853  6.0541 37.6857  3.8506   0.0000  0.0000   0.0000  1480
25 13.7873  9.0342 11.2898  5.5470 2.81229 13.7873 3.17331   9.2035 10.8226 11.2898  5.5470 1.62358  9.2035 1.86806   9.0964  9.0342 11.2898  5.5470  0.0000  0.0000   0.0000   8.6994  7.9822 38.8019  4.6357   0.0000  0.0000   0.0000  1274
26 27.0077 12.5794 12.8557 10.1366 3.42272 27.0077 3.20439  16.3121 17.0847 12.8557 10.1366 1.85418 16.3121 1.76027  11.6984 12.5794 12.8557 10.1366  0.0000  0.0000   0.0000   8.9399 13.5735 31.5410  2.8223   0.0000  0.0000   0.0000  2088
27  9.1757  9.3971  9.3314  5.0300 2.36347  9.1757 2.26818   8.7908 11.2874  9.3314  5.0300 1.42759  8.7907 1.54514   5.7996  9.3971  9.3314  5.0300  0.0000  0.0000   0.0000   9.4013  9.0053 33.6919  2.5388   0.0000  0.0000   0.0000  1546
28 24.5521 18.3868 18.1388 13.1276 5.55950 24.5522 5.07749  27.3682 26.5775 18.1388 13.1276 3.20125 27.3682 3.62865  14.6485 18.3868 18.1388 13.1276  0.0000  0.0000   0.0000  21.2530  7.0160 54.9592  9.2120   0.0000  0.0000   0.0000   755
29 19.3919 13.8728 12.3100 13.0572 3.67804 19.3918 3.91272  17.1300 18.6219 12.3100 13.0572 2.26892 17.1301 2.34226  10.8175 13.8728 12.3100 13.0572  0.0000  0.0000   0.0000   8.2879 11.1326 38.3094  2.6924   0.0000  0.0000   0.0000  1254
30 21.2839 16.7574 10.7314  8.6120 5.95752 21.2834 4.64039  14.4150 20.7660 10.7314  8.6120 3.18653 14.4153 2.89684  14.4135 16.7574 10.7314  8.6120  0.0000  0.0000   0.0000   9.1421 13.7541 32.8950  1.9158   0.0000  0.0000   0.0000   787
31 14.7109 11.8983  8.8412  6.6551 2.90241 14.7106 3.40349   8.3268 14.6807  8.8412  6.6551 1.56141  8.3269 1.64155   8.8647 11.8983  8.8412  6.6551  0.0000  0.0000   0.0000  10.7454 12.4791 32.6414  1.6810   0.0000  0.0000   0.0000  1148
32 12.6657 10.9472 14.6705  5.1391 2.29347 12.6654 2.92597  14.1076 15.2034 14.6705  5.1391 2.20136 14.1076 2.13747  10.2030 10.9472 14.6705  5.1391  0.0000  0.0000   0.0000   8.1456  7.8009 37.5626  2.8805   0.0000  0.0000   0.0000  1222
33  7.6041  8.6259  6.5459  3.9460 1.90709  7.6037 2.26511   7.4650  9.2328  6.5459  3.9460 1.54402  7.4651 1.58032   4.0881  8.6259   6.545  3.9460  0.0000  0.0000   0.0000   9.0810  8.4246 37.0921  1.1313   0.0000  0.0000   0.0000  1245
34  8.5337  9.8284  9.8940  4.4537 2.18792  8.5336 2.26849   8.1725 12.0531  9.8940  4.4537 1.19666  8.1725 1.46251   7.5965  9.8284  9.8940  4.4537  0.0000  0.0000   0.0000   9.5469  9.1132 36.6018  4.1941   0.0000  0.0000   0.0000  1683
35 26.7300 18.8254 15.1594 12.4486 5.08626 26.7302 4.47632  22.0452 26.4258 15.1594 12.4486 2.92472 22.0452 3.19273  14.2312 18.8254 15.1594 12.4486  0.0000  0.0000   0.0000  13.3535  9.7351 42.0465  6.6536   0.0000  0.0000   0.0000   929
36 22.8975 14.3827 15.8147  9.0011 2.40375 22.8975 2.37773  20.6671 19.7866 15.8147  9.0011 1.47817 20.6671 1.53670  12.7023 14.3827 15.8147  9.0011  0.0000  0.0000   0.0000  14.0684  8.6280 44.9612  8.1107   0.0000  0.0000   0.0000  3473
37 20.0885 14.4598 13.7865  9.1320 3.19437 20.0885 3.14020  18.6980 20.4900 13.7865  9.1320 1.98520 18.6980 2.35390  12.8002 14.4598 13.7865  9.1320  0.0000  0.0000   0.0000  14.3430  8.2354 44.8344  4.8541   0.0000  0.0000   0.0000  1669
38 16.0743 11.9968  7.7177  6.6004 4.48910 16.0740 4.15985  10.3366 13.8565  7.7177  6.6004 1.78857 10.3361 2.11289   8.9858 11.9968  7.7177  6.6004  0.0000  0.0000   0.0000   9.2150 10.9343 32.8820  2.0736   0.0000  0.0000   0.0000   944
39 23.3940 12.7029 10.0358  8.6595 2.71662 23.3940 3.09157  14.5023 16.3565 10.0358  8.6595 1.40641 14.5023 1.59296  10.2507 12.7029 10.0358  8.6595  0.0000  0.0000   0.0000   7.4488  8.9388 38.5475  2.3675   0.0000  0.0000   0.0000  2279
