fips   For 0-4 total (not just related kids) poverty ratios     For 5-17 total (not just related kids) poverty ratios                 For 18-64 poverty ratios                                    For 65+ poverty ratios
     cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98   SSI98   cpsse  cpsest     gvfse smpsize
01 30.0431 16.6736 12.6764  9.3851  5.6332 30.0431   5.82490 21.6157 23.4257 12.6764  9.3851  4.0882 21.2020   3.79846 11.3425 16.6736 12.6764  9.3851  1.4145 11.3425   1.55091 13.4229  5.4940 54.1681  8.8982  2.0948 13.4229   2.41305     656
02 11.8260  9.9838 14.8286  5.4071  5.0972 11.8260   4.39696  9.7716 13.0702 14.8286  5.4071  2.3676  8.2874   2.92658  9.1999  9.9838 14.8286  5.4071  1.2210  9.1999   1.43078  2.8130  4.6820 34.6561  5.2223  1.9795  2.8130   1.85205     559
04 29.9611 13.8554 15.6777  5.5210  3.5779 28.4278   4.87069 24.3888 20.7462 15.6777  5.5210  2.3815 22.2783   3.41974 13.3147 13.8554 15.6777  5.5210  1.1641 13.3147   1.38517  9.6087  5.2452 43.5443  3.3477  2.3633  9.6087   2.15154     867
05 26.4217 18.2106 11.7007  9.9874  7.1287 26.4217   5.65193 13.5924 25.4514 11.7007  9.9874  2.2481 12.4380   3.02669 13.3081 18.2106 11.7007  9.9874  1.4419 13.3081   1.62585 16.9766  6.3823 51.3893  7.7916  2.6625 16.9766   3.13361     677
06 25.3507 14.2124 18.2124  6.2966  1.8191 24.6053   2.02954 22.6008 21.3692 18.2124  6.2966  1.5584 21.5934   1.49266 12.6681 14.2124 18.2124  6.2966  0.6334 12.6681   .608987  9.4291  5.2384 45.1317 12.4810  1.0062  9.4291   .959999    4525
08 15.5578 10.5999 10.9270  4.3914  4.5734 15.5578   4.24057 13.0011 13.9179 10.9270  4.3914  3.3741 12.3969   2.89139  8.2525 10.5999 10.9270  4.3914  0.9237  8.2525   1.08517  2.9409  6.2545 36.9083  3.4245  1.3211  2.9409   1.38750     779
09  6.8022  8.5445  8.7838  5.5606  3.3063  6.8022   3.51752 13.8361 11.0737  8.7838  5.5606  2.8396 13.1852   3.54615  9.5151  8.5445  8.7838  5.5606  1.8286  9.5151   1.58659  4.1801  5.1262 40.0055  2.5462  1.5160  4.1801   1.72165     540
10 16.8271 11.0453  9.4931  5.3217  7.0615 16.8271   5.60774 15.6133 15.3151  9.4931  5.3217  3.7831 15.6133   4.15594  7.9399 11.0453  9.4931  5.3217  1.4871  7.9399   1.40312  8.8649  4.5723 37.7297  2.5967  2.5681  8.8649   2.68718     503
11 43.5210 15.6799 17.7651 16.1480  9.7863 43.5210   7.28837 45.0235 26.2184 17.7651 16.1480  8.1134 45.0235   5.99098 16.3503 15.6799 17.7651 16.1480  2.1073 16.3503   2.13762 17.9602  3.9486 47.6686  7.4402  3.9565 17.9602   3.64238     528
12 24.9516 15.7900 12.1197  6.2764  3.3683 24.0131   2.78076 20.8612 22.3245 12.1197  6.2764  2.1348 19.2318   1.97748 11.2209 15.7900 12.1197  6.2764  0.7717 11.2209   .785946  8.4696  5.3674 44.2002  4.8643  0.8370  8.4696   1.04730    2691
13 18.9883 14.1954 14.0096  7.9911  5.1478 18.9883   4.55152 24.3560 20.6308 14.0096  7.9911  5.1706 24.0165   3.71621  9.7808 14.1954 14.0096  7.9911  1.4833  9.7808   1.30511 10.9622  5.6319 50.2871  8.4011  3.0801 10.9622   2.84132     794
15 16.7223 12.4676 12.8392 10.0956  4.8701 14.4789   5.65217 14.4833 15.7496 12.8392 10.0956  3.6696 14.4833   3.96936  9.7970 12.4676 12.8392 10.0956  1.5305  9.7970   1.64106  7.9912  7.0888 37.8012  5.6154  2.8171  7.9912   2.68316     438
