fips   Total 0-4 poverty ratios        Related 5-17 poverty ratios       Total 5-17 poverty ratios         For 18-64 poverty ratios          For 65+ poverty ratios
     cen99 irspr99 irsnf99    fs99    cen99 irspr99 irsnf99    fs99    cen99 irspr99 irsnf99    fs99    cen99 irspr99 irsnf99    fs99    cen99 irspr99 irsnf99   SSI99
 1 23.3338 16.2855 12.3291  8.9256  19.9323 22.7211 12.3291  8.9256  20.4061 22.7211 12.3291  8.9256  13.8888 16.2855 12.3291  8.9256  15.5479  5.7658 52.8613  8.3018 
 2 13.6529  9.6933 11.9741  5.3481   9.9887 12.1609 11.9741  5.3481  10.8612 12.1609 11.9741  5.3481   8.4581  9.6933 11.9741  5.3481   6.6751  5.0926 30.2333  5.4367 
 4 20.6086 12.8425 17.8114  5.0288  17.3242 19.6335 17.8114  5.0288  18.1758 19.6335 17.8114  5.0288  12.7236 12.8425 17.8114  5.0288   8.3599  5.2721 44.2193  3.1811 
 5 24.5530 17.2260 13.5535  9.2469  19.6270 24.4380 13.5535  9.2469  20.4124 24.4380 13.5535  9.2469  13.5986 17.2260 13.5535  9.2469  13.8626  6.4842 51.1247  7.1408 
 6 19.6743 13.9718 15.8870  5.5574  17.9852 20.2542 15.8870  5.5574  18.7437 20.2542 15.8870  5.5574  12.9264 13.9718 15.8870  5.5574   8.0540  5.7114 41.7425 10.2049 
 8 12.4515 10.0562 11.8925  3.7132   9.7886 13.2919 11.8925  3.7132  10.5344 13.2919 11.8925  3.7132   8.6890 10.0562 11.8925  3.7132   7.4307  6.5827 34.6634  3.3402 
 9 11.0260  8.2292  9.2274  4.9237   9.4210 10.5196  9.2274  4.9237   9.9130 10.5196  9.2274  4.9237   6.8893  8.2292  9.2274  4.9237   6.9927  5.2565 38.3789  2.5328 
10 14.1558 10.5310 10.5719  4.3763  10.6641 14.7724 10.5719  4.3763  11.2456 14.7724 10.5719  4.3763   8.1348 10.5310 10.5719  4.3763   7.8520  4.7461 37.5587  2.4592 
11 32.0799 14.1198 24.2454 14.3490  29.0283 25.7600 24.2454 14.3490  30.2614 25.7600 24.2454 14.3490  17.0951 14.1198 24.2454 14.3490  16.4470  4.1246 45.0471  7.4157 
12 18.3411 15.0845 13.2402  5.5847  16.0857 21.3044 13.2402  5.5847  16.8412 21.3044 13.2402  5.5847  11.5399 15.0845 13.2402  5.5847   9.0559  5.5952 43.5179  4.7251 
13 17.9244 13.8287 14.3610  6.9421  15.7662 19.7171 14.3610  6.9421  16.4511 19.7171 14.3610  6.9421  11.0805 13.8287 14.3610  6.9421  13.5913  5.8205 49.0647  7.9017 
15 14.8035 12.6589 12.7287  9.6881  12.4609 15.8924 12.7287  9.6881  13.2922 15.8924 12.7287  9.6881  10.0474 12.6589 12.7287  9.6881   7.4247  7.5429 34.9045  5.4218 
16 16.9110 13.7056 10.0713  4.4693  12.2650 17.3671 10.0713  4.4693  13.0320 17.3671 10.0713  4.4693  11.1470 13.7056 10.0713  4.4693   8.2842  7.8525 39.4103  2.0399 
17 15.3183 11.0729 11.6767  6.4864  13.0399 15.1628 11.6767  6.4864  13.6140 15.1628 11.6767  6.4864   9.4728 11.0729 11.6767  6.4864   8.3172  6.8904 37.9911  3.8350 
18 14.5596 10.8963  8.9228  4.8901  10.3146 14.1303  8.9228  4.8901  10.9686 14.1303  8.9228  4.8901   8.5805 10.8963  8.9228  4.8901   7.6729  9.3729 37.6245  1.8485 
19 13.1151  9.8038  8.5803  4.2505   9.2219 11.9828  8.5803  4.2505  10.0092 11.9828  8.5803  4.2505   8.5152  9.8038  8.5803  4.2505   7.7070  7.0839 35.9868  1.8474 
20 14.5323 10.4097  9.9812  4.2959  10.1097 13.2076  9.9812  4.2959  10.7807 13.2076  9.9812  4.2959   9.2442 10.4097  9.9812  4.2959   8.0921  8.0628 34.4570  1.9765 
21 22.6861 15.1406 12.9171  9.9474  18.8707 20.8628 12.9171  9.9474  19.6604 20.8628 12.9171  9.9474  14.0244 15.1406 12.9171  9.9474  14.1177  7.0879 50.9587  7.6723 
22 28.5606 17.9541 15.1360 11.2566  24.7734 25.1580 15.1360 11.2566  25.4111 25.1580 15.1360 11.2566  16.8752 17.9541 15.1360 11.2566  16.7432  5.5195 52.9866  8.9155 
23 15.8615 11.9740  8.4525  8.0860  11.5866 14.7741  8.4525  8.0860  12.5483 14.7741  8.4525  8.0860   9.8474 11.9740  8.4525  8.0860  10.2335  6.2197 46.4848  3.5096 
24 11.4113  9.3904 11.0234  4.2523   9.5284 12.4128 11.0234  4.2523  10.1251 12.4128 11.0234  4.2523   7.5382  9.3904 11.0234  4.2523   8.4993  4.6539 38.7366  4.1391 
25 12.1926  8.3600 11.0206  3.7651  11.0947 10.7301 11.0206  3.7651  11.6920 10.7301 11.0206  3.7651   8.2444  8.3600 11.0206  3.7651   8.8485  5.0666 41.9883  4.4913 
26 15.2834 10.9935 11.2214  6.1943  12.3510 15.2540 11.2214  6.1943  13.0102 15.2540 11.2214  6.1943   9.4770 10.9935 11.2214  6.1943   8.2021  7.6006 37.1314  3.0320 
27 10.4223  8.2638  7.9175  4.0338   8.4682 10.1053  7.9175  4.0338   9.1209 10.1053  7.9175  4.0338   7.0849  8.2638  7.9175  4.0338   8.1659  6.4296 36.6979  2.5508 
28 28.1690 18.5465 14.7107  9.7050  25.5305 26.0275 14.7107  9.7050  26.1180 26.0275 14.7107  9.7050  16.6307 18.5465 14.7107  9.7050  18.8392  5.1068 58.1897 12.3372 
29 17.5035 12.8295 10.3710  7.4783  13.9635 17.0681 10.3710  7.4783  14.7378 17.0681 10.3710  7.4783  10.3332 12.8295 10.3710  7.4783   9.9196  7.3999 41.4106  3.2577 
30 22.1937 16.9266  9.7997  6.6129  16.5922 20.8671  9.7997  6.6129  17.5424 20.8671  9.7997  6.6129  13.7714 16.9266  9.7997  6.6129   9.0648 10.1299 35.4869  2.1302 
31 13.6350 10.9413  7.5262  4.9476  10.8491 13.5069  7.5262  4.9476  11.5884 13.5069  7.5262  4.9476   8.7808 10.9413  7.5262  4.9476   8.0276  8.5058 34.6717  1.8428 
32 15.8084 10.1937 14.3817  3.0064  11.9244 14.5052 14.3817  3.0064  12.7710 14.5052 14.3817  3.0064   9.6704 10.1937 14.3817  3.0064   7.1262  6.3952 36.7069  2.8579 
33  8.9779  7.6293  5.4169  2.9812   6.5109  8.3220  5.4169  2.9812   7.1977  8.3220  5.4169  2.9812   5.8316  7.6293  5.4169  2.9812   7.1883  6.1573 38.0787  1.3212 
34 11.1828  9.1844 10.2691  4.2295  10.3527 11.9662 10.2691  4.2295  10.7960 11.9662 10.2691  4.2295   7.5274  9.1844 10.2691  4.2295   7.8298  6.2337 38.5398  4.1605 
35 26.9545 19.9712 13.2669  9.4309  23.0957 27.9039 13.2669  9.4309  23.8180 27.9039 13.2669  9.4309  16.3761 19.9712 13.2669  9.4309  12.7987  7.3333 44.4005  7.1037 
36 20.4702 13.0555 16.5348  7.7216  18.5487 18.8905 16.5348  7.7216  19.1923 18.8905 16.5348  7.7216  12.9462 13.0555 16.5348  7.7216  11.3337  5.7497 46.3640  7.8715 
37 17.5425 12.5636 12.5217  5.9535  14.5467 18.1090 12.5217  5.9535  15.1891 18.1090 12.5217  5.9535  10.5016 12.5636 12.5217  5.9535  13.2512  5.5610 48.3581  6.4178 
38 17.2242 12.2420  7.7408  5.0083  11.9944 14.2785  7.7408  5.0083  12.6621 14.2785  7.7408  5.0083  10.9109 12.2420  7.7408  5.0083  11.1234  8.5290 35.0886  2.5040 
